"inst_id","type","name","department","address","city","state","zip"
"1","Academia","University College of Applied Sciences","Data Science & AI",NULL,"Gaza",NULL,NULL
"2","High School","Industrial High School","Industrial Branch",NULL,"Gaza",NULL,NULL
