experience_id,position_id,name,description
1,1,Data Science and AI Engineering Degree,Focused on foundational programming mathematics and data concepts.
2,2,Mobile App Development,Gained hands-on experience in mobile app development using Kotlin. Ranked 6th overall in Gaza.
