inst_id,name,type,department,address,city,state,zip
1,University College of Applied Sciences (UCAS),Academia,Data Science & AI,Gaza Strip,Gaza,Palestine,00970
2,Abdel Moati Al-Rayyes Vocational Secondary School,Education,Industrial Branch,Gaza Strip,Gaza,Palestine,00970
